Delivery_person_ID,Delivery_person_Age,Vehicle_condition
INDORES13DEL02 ,37,2
BANGRES18DEL02 ,34,2
BANGRES19DEL01 ,23,0
COIMBRES13DEL02 ,38,0
CHENRES12DEL01 ,32,1
HYDRES09DEL03 ,22,0
RANCHIRES15DEL01 ,33,1
MYSRES15DEL02 ,35,2
HYDRES05DEL02 ,22,0
DEHRES17DEL01 ,36,2
KOCRES16DEL01 ,21,1
PUNERES13DEL03 ,23,1
LUDHRES15DEL02 ,34,0
KNPRES14DEL02 ,24,1
MUMRES15DEL03 ,29,2
MYSRES01DEL01 ,35,1
PUNERES20DEL01 ,33,2
HYDRES14DEL01 ,34,0
KOLRES15DEL03 ,21,0
PUNERES19DEL02 ,25,0
RANCHIRES06DEL02 ,31,2
COIMBRES13DEL01 ,37,1
CHENRES19DEL02 ,33,2
MUMRES02DEL01 ,25,1
CHENRES01DEL01 ,29,2
JAPRES16DEL03 ,27,0
SURRES15DEL03 ,35,1
BANGRES09DEL03 ,32,0
PUNERES04DEL01 ,23,2
COIMBRES02DEL03 ,31,2
SURRES16DEL02 ,36,0
GOARES15DEL02 ,26,0
GOARES07DEL01 ,38,1
RANCHIRES02DEL01 ,32,1
PUNERES19DEL02 ,32,2
PUNERES02DEL01 ,33,1
PUNERES18DEL01 ,20,1
SURRES08DEL01 ,20,2
HYDRES17DEL02 ,35,2
BANGRES17DEL02 ,26,2
BANGRES17DEL01 ,22,1
CHENRES11DEL01 ,35,1
MUMRES17DEL02 ,NaN ,1
SURRES17DEL03 ,37,0
MUMRES07DEL01 ,28,1
KOLRES16DEL02 ,37,1
MUMRES02DEL03 ,23,2
BANGRES05DEL03 ,27,1
CHENRES11DEL01 ,37,0
SURRES09DEL01 ,33,2
RANCHIRES15DEL01 ,31,1
BANGRES19DEL01 ,31,2
AURGRES20DEL03 ,25,0
COIMBRES14DEL02 ,28,0
SURRES08DEL03 ,31,2
COIMBRES07DEL03 ,24,0
AGRRES12DEL03 ,39,1
VADRES02DEL02 ,39,2
JAPRES14DEL01 ,32,2
VADRES04DEL03 ,36,1
JAPRES18DEL02 ,25,1
MYSRES04DEL03 ,33,2
SURRES12DEL01 ,30,2
MUMRES04DEL01 ,33,0
PUNERES02DEL01 ,36,2
ALHRES07DEL02 ,21,2
DEHRES19DEL02 ,39,2
VADRES16DEL02 ,23,1
VADRES09DEL01 ,35,2
CHENRES12DEL03 ,39,1
SURRES11DEL01 ,22,1
SURRES01DEL01 ,32,1
VADRES15DEL02 ,24,1
MYSRES14DEL02 ,29,0
BANGRES13DEL01 ,NaN ,1
HYDRES13DEL03 ,26,1
BHPRES12DEL02 ,20,1
CHENRES11DEL03 ,35,1
BANGRES010DEL03 ,39,1
VADRES20DEL01 ,34,2
BANGRES11DEL01 ,27,2
DEHRES01DEL01 ,30,1
CHENRES02DEL01 ,25,2
MUMRES04DEL01 ,25,0
JAPRES03DEL02 ,30,1
HYDRES04DEL03 ,24,1
PUNERES14DEL02 ,39,1
GOARES04DEL01 ,25,1
AURGRES08DEL02 ,37,0
BANGRES12DEL01 ,24,0
HYDRES05DEL01 ,25,0
RANCHIRES17DEL01 ,32,2
AGRRES010DEL01 ,34,1
INDORES12DEL02 ,38,2
JAPRES15DEL03 ,36,2
SURRES16DEL01 ,25,1
MYSRES16DEL02 ,29,0
MUMRES05DEL03 ,36,2
COIMBRES19DEL02 ,33,0
MYSRES07DEL01 ,36,2
PUNERES17DEL01 ,21,0
HYDRES19DEL03 ,25,1
MUMRES14DEL02 ,23,0
COIMBRES02DEL01 ,25,2
INDORES05DEL02 ,24,0
BANGRES03DEL03 ,27,0
MUMRES11DEL01 ,23,2
MYSRES12DEL02 ,21,1
SURRES09DEL02 ,27,2
COIMBRES12DEL02 ,32,1
SURRES08DEL01 ,25,0
KNPRES05DEL02 ,39,1
SURRES05DEL02 ,27,0
MUMRES15DEL01 ,39,1
BANGRES15DEL02 ,31,1
RANCHIRES11DEL03 ,31,2
MYSRES08DEL01 ,20,0
RANCHIRES07DEL02 ,36,0
RANCHIRES01DEL03 ,20,0
JAPRES17DEL03 ,24,0
VADRES06DEL01 ,NaN ,3
INDORES14DEL01 ,39,1
COIMBRES17DEL01 ,37,2
CHENRES11DEL01 ,32,2
KNPRES17DEL02 ,22,1
COIMBRES12DEL02 ,23,1
RANCHIRES04DEL01 ,33,1
KOLRES17DEL03 ,23,0
BANGRES19DEL02 ,27,0
MUMRES17DEL01 ,34,2
SURRES14DEL01 ,26,2
VADRES14DEL03 ,31,0
PUNERES09DEL02 ,32,2
INDORES19DEL02 ,27,1
BANGRES010DEL03 ,21,0
BANGRES12DEL02 ,28,1
VADRES04DEL01 ,24,1
HYDRES14DEL01 ,33,0
BANGRES11DEL03 ,20,0
COIMBRES13DEL03 ,31,0
PUNERES05DEL03 ,NaN ,2
VADRES20DEL01 ,36,1
CHENRES19DEL01 ,31,0
HYDRES02DEL03 ,39,1
SURRES010DEL02 ,29,2
SURRES03DEL01 ,29,1
COIMBRES17DEL03 ,37,0
VADRES08DEL01 ,33,0
MUMRES08DEL01 ,31,1
VADRES18DEL01 ,37,0
BANGRES04DEL03 ,26,0
COIMBRES02DEL01 ,24,0
RANCHIRES12DEL02 ,23,1
VADRES18DEL01 ,36,1
MYSRES13DEL01 ,39,0
COIMBRES03DEL02 ,20,0
MYSRES16DEL02 ,20,0
KOLRES04DEL03 ,29,0
COIMBRES11DEL01 ,36,2
VADRES13DEL03 ,36,0
RANCHIRES04DEL02 ,22,1
PUNERES18DEL01 ,38,0
SURRES01DEL02 ,39,0
INDORES08DEL02 ,24,1
VADRES18DEL01 ,30,0
HYDRES18DEL03 ,35,0
CHENRES07DEL03 ,33,2
KOCRES010DEL01 ,39,1
VADRES11DEL02 ,31,1
CHENRES20DEL01 ,37,2
MYSRES04DEL03 ,37,1
MUMRES13DEL01 ,33,1
RANCHIRES03DEL03 ,24,2
JAPRES08DEL02 ,33,1
ALHRES12DEL01 ,39,2
RANCHIRES11DEL03 ,37,1
HYDRES19DEL02 ,25,2
PUNERES17DEL03 ,28,1
MYSRES010DEL01 ,38,2
JAPRES03DEL01 ,NaN ,0
MYSRES04DEL03 ,31,0
MUMRES06DEL03 ,25,2
MYSRES18DEL01 ,35,0
RANCHIRES18DEL01 ,39,0
INDORES06DEL02 ,38,1
CHENRES15DEL03 ,35,1
JAPRES07DEL02 ,29,1
SURRES18DEL03 ,27,1
MYSRES04DEL03 ,38,0
SURRES19DEL01 ,36,2
HYDRES04DEL01 ,26,1
KNPRES16DEL03 ,26,2
MYSRES12DEL03 ,36,1
JAPRES09DEL01 ,21,0
CHENRES04DEL02 ,35,2
MYSRES09DEL01 ,20,2
PUNERES19DEL03 ,23,0
KOLRES18DEL03 ,37,0
BANGRES14DEL03 ,26,0
SURRES09DEL02 ,29,1
INDORES09DEL01 ,26,1
PUNERES09DEL03 ,29,0
RANCHIRES01DEL02 ,29,2
LUDHRES010DEL03 ,21,1
MYSRES13DEL02 ,22,0
JAPRES18DEL02 ,31,1
COIMBRES11DEL02 ,20,1
VADRES13DEL02 ,30,2
BANGRES01DEL01 ,36,0
MYSRES08DEL01 ,24,1
MYSRES15DEL01 ,32,2
CHENRES02DEL03 ,25,1
HYDRES12DEL01 ,27,2
BANGRES07DEL01 ,32,0
CHENRES09DEL01 ,23,1
BANGRES04DEL02 ,39,0
VADRES04DEL03 ,20,1
JAPRES13DEL02 ,20,2
ALHRES07DEL03 ,29,1
JAPRES06DEL03 ,26,2
KOCRES03DEL01 ,25,1
BANGRES13DEL01 ,34,1
GOARES02DEL01 ,31,0
RANCHIRES03DEL02 ,24,0
HYDRES12DEL03 ,30,2
JAPRES07DEL02 ,36,0
JAPRES13DEL03 ,36,0
JAPRES18DEL03 ,26,0
VADRES05DEL01 ,30,2
AURGRES02DEL03 ,20,2
BANGRES17DEL02 ,33,2
RANCHIRES14DEL01 ,NaN ,1
MUMRES20DEL03 ,34,0
HYDRES14DEL02 ,36,0
KNPRES02DEL02 ,33,1
AURGRES19DEL01 ,22,1
PUNERES18DEL01 ,38,2
BANGRES08DEL02 ,27,2
KNPRES16DEL01 ,32,2
BANGRES010DEL02 ,26,0
INDORES03DEL02 ,29,0
COIMBRES16DEL02 ,31,0
HYDRES20DEL01 ,28,2
AGRRES08DEL03 ,21,1
COIMBRES15DEL02 ,21,0
RANCHIRES12DEL02 ,30,1
ALHRES05DEL01 ,29,2
MUMRES01DEL01 ,20,1
AURGRES14DEL03 ,28,0
MUMRES13DEL01 ,25,0
PUNERES16DEL01 ,NaN ,3
CHENRES14DEL02 ,38,1
HYDRES06DEL03 ,39,1
SURRES18DEL03 ,26,1
COIMBRES02DEL01 ,33,1
VADRES13DEL03 ,24,0
COIMBRES16DEL01 ,24,0
INDORES13DEL03 ,33,2
INDORES12DEL03 ,35,1
MUMRES13DEL03 ,27,0
CHENRES06DEL02 ,NaN ,1
BANGRES06DEL03 ,29,0
AGRRES11DEL02 ,34,1
KNPRES15DEL02 ,20,2
VADRES13DEL01 ,29,1
VADRES01DEL03 ,22,2
AGRRES03DEL01 ,35,0
KOCRES14DEL01 ,32,0
LUDHRES18DEL01 ,28,2
COIMBRES14DEL02 ,30,1
CHENRES19DEL01 ,22,2
COIMBRES15DEL02 ,36,0
SURRES20DEL02 ,23,0
INDORES18DEL02 ,22,2
AURGRES04DEL02 ,29,2
CHENRES01DEL01 ,34,0
BANGRES010DEL01 ,38,0
VADRES09DEL01 ,35,0
VADRES15DEL03 ,38,2
DEHRES010DEL01 ,32,1
BANGRES07DEL01 ,20,2
CHENRES05DEL02 ,25,0
JAPRES06DEL03 ,29,2
AGRRES12DEL03 ,32,2
DEHRES12DEL02 ,39,1
VADRES01DEL01 ,31,0
SURRES13DEL02 ,37,0
LUDHRES05DEL03 ,36,2
JAPRES16DEL03 ,37,1
PUNERES02DEL03 ,NaN ,2
COIMBRES14DEL01 ,38,2
AGRRES010DEL02 ,37,0
SURRES14DEL03 ,21,2
JAPRES04DEL03 ,35,2
JAPRES01DEL03 ,22,1
HYDRES010DEL02 ,28,0
MYSRES16DEL02 ,39,0
BANGRES15DEL02 ,29,1
CHENRES15DEL02 ,39,2
MYSRES05DEL02 ,25,2
COIMBRES03DEL03 ,34,2
BANGRES01DEL02 ,22,1
KNPRES12DEL01 ,27,0
MUMRES010DEL01 ,28,0
COIMBRES20DEL03 ,32,2
RANCHIRES08DEL01 ,NaN ,2
HYDRES16DEL01 ,27,0
MUMRES01DEL02 ,35,1
MYSRES08DEL03 ,22,1
AURGRES16DEL03 ,35,2
VADRES11DEL01 ,30,0
MYSRES09DEL02 ,39,2
HYDRES18DEL03 ,33,2
PUNERES05DEL02 ,20,2
VADRES04DEL03 ,20,2
MYSRES02DEL03 ,34,0
MYSRES03DEL01 ,22,0
JAPRES16DEL02 ,37,2
MUMRES010DEL01 ,20,1
SURRES15DEL02 ,33,1
INDORES06DEL02 ,21,1
VADRES06DEL01 ,33,0
BANGRES04DEL02 ,24,2
RANCHIRES12DEL02 ,36,2
MUMRES19DEL03 ,30,0
HYDRES05DEL03 ,32,1
HYDRES010DEL02 ,28,2
JAPRES07DEL02 ,21,2
AURGRES12DEL02 ,39,0
CHENRES15DEL02 ,32,0
MUMRES07DEL03 ,20,1
VADRES12DEL03 ,NaN ,0
JAPRES16DEL01 ,36,2
BANGRES09DEL02 ,28,1
PUNERES12DEL02 ,32,0
CHENRES19DEL01 ,39,1
SURRES07DEL01 ,30,0
PUNERES19DEL01 ,32,0
INDORES15DEL03 ,23,0
MUMRES01DEL01 ,21,2
INDORES17DEL03 ,31,2
MUMRES13DEL02 ,37,2
SURRES18DEL02 ,20,0
JAPRES14DEL01 ,28,0
MYSRES08DEL01 ,22,1
HYDRES19DEL03 ,20,1
RANCHIRES010DEL02 ,34,1
CHENRES09DEL01 ,38,1
BANGRES13DEL02 ,NaN ,3
RANCHIRES01DEL01 ,32,2
PUNERES12DEL01 ,34,2
INDORES07DEL03 ,33,2
INDORES19DEL02 ,34,1
VADRES04DEL03 ,32,2
BANGRES20DEL01 ,NaN ,1
MYSRES02DEL02 ,34,0
SURRES05DEL01 ,26,1
BANGRES13DEL02 ,31,0
SURRES010DEL01 ,39,0
ALHRES09DEL01 ,27,1
HYDRES18DEL02 ,32,2
KOLRES03DEL02 ,32,0
RANCHIRES16DEL01 ,39,0
PUNERES12DEL01 ,36,2
BANGRES16DEL03 ,37,0
RANCHIRES01DEL03 ,37,1
PUNERES12DEL01 ,38,1
RANCHIRES01DEL02 ,28,2
PUNERES06DEL01 ,34,1
CHENRES15DEL01 ,32,1
JAPRES010DEL03 ,22,1
