ID,City,Weatherconditions,Road_traffic_density
0x4607 ,Urban ,conditions Sunny,High 
0xb379 ,Metropolitian ,conditions Stormy,Jam 
0x5d6d ,Urban ,conditions Sandstorms,Low 
0x7a6a ,Metropolitian ,conditions Sunny,Medium 
0x70a2 ,Metropolitian ,conditions Cloudy,High 
0x9bb4 ,Urban ,conditions Cloudy,Jam 
0x95b4 ,Metropolitian ,conditions Fog,Jam 
0x9eb2 ,Metropolitian ,conditions Cloudy,Medium 
0x1102 ,Metropolitian ,conditions Stormy,Jam 
0xcdcd ,Metropolitian ,conditions Fog,Jam 
0xd987 ,Metropolitian ,conditions Stormy,High 
0x2784 ,Metropolitian ,conditions Sandstorms,Medium 
0xc8b6 ,Metropolitian ,conditions Sandstorms,Low 
0xdb64 ,Metropolitian ,conditions Fog,Jam 
0x3af3 ,Metropolitian ,conditions Sandstorms,Jam 
0x3aab ,Metropolitian ,conditions Windy,High 
0x689b ,Metropolitian ,conditions Sandstorms,Jam 
0x6f67 ,Metropolitian ,conditions Cloudy,Jam 
0xc9cf ,Urban ,conditions Windy,Jam 
0x36b8 ,Metropolitian ,conditions Sandstorms,Jam 
0x5795 ,Metropolitian ,conditions Sandstorms,Low 
0x6c6b ,Metropolitian ,conditions Sandstorms,Low 
0xb816 ,Metropolitian ,conditions Windy,Jam 
0x539b ,Metropolitian ,conditions Cloudy,High 
0xa1b2 ,Metropolitian ,conditions Sunny,Medium 
0x3231 ,Urban ,conditions Stormy,Jam 
0x8bc0 ,Metropolitian ,conditions Cloudy,Low 
0x2288 ,Metropolitian ,conditions Windy,Jam 
0x3c5e ,Urban ,conditions Windy,Low 
0x3e60 ,Metropolitian ,conditions Sandstorms,Low 
0xbff ,Urban ,conditions Stormy,Low 
0xd936 ,Urban ,conditions Sandstorms,Low 
0xd681 ,Urban ,conditions Cloudy,High 
0x2876 ,Urban ,conditions Stormy,Jam 
0x30c8 ,Metropolitian ,conditions Cloudy,Low 
0xb843 ,Metropolitian ,conditions Sunny,Medium 
0xb3a0 ,Urban ,conditions Windy,High 
0x6531 ,Metropolitian ,conditions Sandstorms,Low 
0x4bda ,Urban ,conditions Sunny,Low 
0x9d26 ,Metropolitian ,conditions Stormy,Low 
0x9b18 ,Metropolitian ,conditions Fog,Low 
0x5d99 ,Metropolitian ,conditions Cloudy,Medium 
0x4f0 ,Metropolitian ,conditions Cloudy,Medium 
0xb796 ,Metropolitian ,conditions Sandstorms,Jam 
0x85b4 ,Metropolitian ,conditions Stormy,Jam 
0xc644 ,Urban ,conditions Fog,Low 
0x6999 ,Metropolitian ,conditions Sunny,Jam 
0x63b6 ,Metropolitian ,conditions Windy,Medium 
0xa30b ,Urban ,conditions Cloudy,Medium 
0x3556 ,Metropolitian ,conditions Sunny,High 
0x5554 ,Metropolitian ,conditions Fog,Medium 
0x25fd ,Metropolitian ,conditions Stormy,Low 
0xc1ff ,Metropolitian ,conditions Cloudy,Low 
0x7ac8 ,Metropolitian ,conditions Sandstorms,Jam 
0x3da1 ,Metropolitian ,conditions Cloudy,Low 
0x272d ,Urban ,conditions Sunny,Medium 
0xddc5 ,Metropolitian ,conditions Sunny,Low 
0x8e6c ,Semi-Urban ,conditions Fog,Jam 
0xb002 ,NaN ,conditions Windy,Low 
0x395b ,Metropolitian ,conditions Cloudy,Jam 
0x8aa2 ,Urban ,conditions Sandstorms,Low 
0xb55a ,Metropolitian ,conditions Sunny,Jam 
0x73cc ,Metropolitian ,conditions Cloudy,Low 
0xbe80 ,Urban ,conditions Sandstorms,Low 
0x1609 ,Metropolitian ,conditions Fog,Medium 
0xd255 ,Metropolitian ,conditions Sandstorms,Low 
0xde72 ,Metropolitian ,conditions Stormy,Jam 
0x98aa ,Metropolitian ,conditions Stormy,Low 
0x273a ,Urban ,conditions Fog,Medium 
0xa258 ,Metropolitian ,conditions Cloudy,Jam 
0x8b53 ,Urban ,conditions Sunny,High 
0xbbde ,Metropolitian ,conditions Fog,Medium 
0x5ded ,Urban ,conditions Sandstorms,Low 
0x1a70 ,Metropolitian ,conditions Fog,Low 
0xa9f ,Metropolitian ,conditions NaN,NaN 
0x4b7f ,Metropolitian ,conditions Fog,Low 
0xc606 ,Metropolitian ,conditions Fog,Jam 
0xb962 ,Metropolitian ,conditions Sandstorms,Jam 
0x633c ,Metropolitian ,conditions Fog,Jam 
0x2dc6 ,Metropolitian ,conditions Windy,High 
0x903a ,Metropolitian ,conditions Cloudy,Jam 
0xc444 ,Metropolitian ,conditions Windy,Low 
0x1fb7 ,Metropolitian ,conditions Cloudy,Medium 
0x34d7 ,Urban ,conditions Stormy,Medium 
0x156b ,Metropolitian ,conditions Stormy,High 
0x56ad ,Metropolitian ,conditions Stormy,Jam 
0x837c ,Metropolitian ,conditions Stormy,Jam 
0xcbc4 ,Urban ,conditions Windy,High 
0xc19e ,Urban ,conditions Fog,Low 
0x1d60 ,Metropolitian ,conditions Fog,Low 
0x95fb ,Metropolitian ,conditions Stormy,Jam 
0x8195 ,Metropolitian ,conditions Stormy,Low 
0xc042 ,Metropolitian ,conditions Sandstorms,Low 
0x6d19 ,Urban ,conditions Cloudy,Low 
0x35e6 ,Metropolitian ,conditions Sunny,Medium 
0xb437 ,Metropolitian ,conditions Stormy,Jam 
0x97e3 ,Metropolitian ,conditions Sunny,Low 
0xa3e0 ,Metropolitian ,conditions Sandstorms,Low 
0x4161 ,Metropolitian ,conditions Fog,Low 
0x1236 ,Metropolitian ,conditions Cloudy,High 
0x2558 ,Metropolitian ,conditions Windy,Low 
0x3185 ,Urban ,conditions Cloudy,Low 
0x3c57 ,Metropolitian ,conditions Windy,Low 
0x4863 ,Urban ,conditions Stormy,Low 
0x6757 ,Urban ,conditions Sandstorms,Low 
0x22ad ,Metropolitian ,conditions Sandstorms,Jam 
0x9f99 ,Urban ,conditions Cloudy,Low 
0x6781 ,Metropolitian ,conditions Fog,Jam 
0x1b8d ,Urban ,conditions Sandstorms,Low 
0x1aea ,Metropolitian ,conditions Cloudy,Jam 
0x1e42 ,Metropolitian ,conditions Sunny,Low 
0xddc8 ,Metropolitian ,conditions Cloudy,Low 
0x24ac ,Metropolitian ,conditions Sunny,Low 
0x3f01 ,Metropolitian ,conditions Windy,Jam 
0x628c ,Metropolitian ,conditions Sandstorms,Low 
0x6c38 ,Metropolitian ,conditions Sunny,Low 
0x4beb ,NaN ,conditions Cloudy,Low 
0x8339 ,Urban ,conditions Cloudy,Medium 
0x3ec5 ,Metropolitian ,conditions Sandstorms,Low 
0xadb4 ,Metropolitian ,conditions Cloudy,Jam 
0x6e2 ,Metropolitian ,conditions NaN,NaN 
0x2bc0 ,Metropolitian ,conditions Fog,Medium 
0x99e7 ,Metropolitian ,conditions Sunny,High 
0x39ef ,Metropolitian ,conditions Sandstorms,Medium 
0xe264 ,Metropolitian ,conditions Sandstorms,Low 
0xbd03 ,Metropolitian ,conditions Windy,Low 
0x9a29 ,Metropolitian ,conditions Fog,Jam 
0xd0e5 ,Metropolitian ,conditions Sunny,Low 
0xa480 ,Metropolitian ,conditions Sunny,Low 
0xb46c ,Metropolitian ,conditions Sunny,High 
0x7150 ,Urban ,conditions Fog,Low 
0x1e58 ,Metropolitian ,conditions Cloudy,Jam 
0x4460 ,Metropolitian ,conditions Fog,Low 
0x977d ,Metropolitian ,conditions Cloudy,Low 
0x1602 ,Metropolitian ,conditions Windy,Medium 
0x894e ,Metropolitian ,conditions Fog,Low 
0x5a01 ,Urban ,conditions Fog,Medium 
0x655 ,Metropolitian ,conditions Sandstorms,Low 
0x20f6 ,Metropolitian ,conditions Fog,Jam 
0x3db1 ,Metropolitian ,conditions Windy,Low 
0x1ec7 ,NaN ,conditions Stormy,Low 
0x8ed2 ,Metropolitian ,conditions Fog,Jam 
0x64cc ,Metropolitian ,conditions Sandstorms,Jam 
0x2ed0 ,Metropolitian ,conditions Stormy,Jam 
0x4008 ,Metropolitian ,conditions Sunny,Jam 
0x7553 ,Urban ,conditions Sandstorms,High 
0x35d8 ,Metropolitian ,conditions Fog,Medium 
0x9832 ,Urban ,conditions Cloudy,High 
0x4c88 ,Metropolitian ,conditions Cloudy,Low 
0x9693 ,Urban ,conditions Windy,High 
0x81a5 ,NaN ,conditions Sandstorms,Low 
0xae56 ,Metropolitian ,conditions Stormy,Medium 
0x8d18 ,Metropolitian ,conditions Windy,Low 
0x9cba ,Metropolitian ,conditions Windy,Low 
0x9b79 ,Metropolitian ,conditions Cloudy,High 
0x596a ,Metropolitian ,conditions Sandstorms,Medium 
0x78aa ,Urban ,conditions Cloudy,Jam 
0xd7ec ,Metropolitian ,conditions Sandstorms,Low 
0x55b1 ,Urban ,conditions Fog,Medium 
0x87e4 ,Metropolitian ,conditions Sunny,Jam 
0x82c3 ,Metropolitian ,conditions Windy,Low 
0x5397 ,Metropolitian ,conditions Windy,Medium 
0x876b ,Metropolitian ,conditions Fog,Jam 
0x3a5a ,Metropolitian ,conditions Stormy,Medium 
0x51e4 ,Metropolitian ,conditions Fog,Low 
0x5631 ,Metropolitian ,conditions Fog,Medium 
0x1dac ,Metropolitian ,conditions Stormy,Low 
0xde01 ,Urban ,conditions Windy,Medium 
0x8771 ,Metropolitian ,conditions Windy,Jam 
0x3645 ,Metropolitian ,conditions Windy,Low 
0x1ff1 ,Metropolitian ,conditions Windy,Low 
0x4a3c ,Metropolitian ,conditions Windy,High 
0x6e0d ,Urban ,conditions Stormy,Low 
0x6cc6 ,Metropolitian ,conditions Sunny,Jam 
0xc141 ,Metropolitian ,conditions Fog,Medium 
0x690f ,Metropolitian ,conditions Cloudy,Medium 
0xb4ba ,Metropolitian ,conditions Sandstorms,Low 
0x63a9 ,Urban ,conditions Fog,Medium 
0x88dd ,Metropolitian ,conditions Windy,High 
0x1b58 ,Metropolitian ,conditions Sandstorms,Medium 
0x87a8 ,Metropolitian ,conditions Windy,Medium 
0x3f8d ,Metropolitian ,conditions Cloudy,Jam 
0x290c ,Metropolitian ,conditions Fog,Jam 
0x7ece ,Metropolitian ,conditions Fog,Jam 
0x1365 ,Metropolitian ,conditions Stormy,Jam 
0x33a4 ,Metropolitian ,conditions Fog,Jam 
0x8f3c ,Metropolitian ,conditions Sandstorms,Low 
0x2fe1 ,Metropolitian ,conditions Stormy,Jam 
0x4b5b ,Semi-Urban ,conditions Sandstorms,Jam 
0x7405 ,Metropolitian ,conditions Windy,Low 
0x6245 ,Metropolitian ,conditions Cloudy,High 
0xd02b ,Metropolitian ,conditions Fog,Jam 
0x1f0e ,Metropolitian ,conditions Sunny,Medium 
0x7085 ,Metropolitian ,conditions Sunny,Low 
0x57fa ,Metropolitian ,conditions Sunny,Jam 
0x57fc ,Metropolitian ,conditions Fog,High 
0x7a1f ,Metropolitian ,conditions Fog,Jam 
0xceac ,Metropolitian ,conditions Sunny,Jam 
0xa0a5 ,Metropolitian ,conditions Sandstorms,Jam 
0x892d ,Urban ,conditions Sandstorms,Low 
0x6118 ,Metropolitian ,conditions Stormy,Medium 
0x46fd ,Metropolitian ,conditions Cloudy,Jam 
0x5134 ,Metropolitian ,conditions Sandstorms,Low 
0xd418 ,Metropolitian ,conditions Windy,Medium 
0x256c ,Metropolitian ,conditions Stormy,Low 
0x6055 ,Metropolitian ,conditions Fog,Medium 
0x7bfb ,NaN ,conditions Fog,Low 
0x7220 ,Metropolitian ,conditions Stormy,Jam 
0x1568 ,Metropolitian ,conditions Fog,Medium 
0x41ea ,Metropolitian ,conditions Fog,Medium 
0x1c60 ,Metropolitian ,conditions Windy,Low 
0x7944 ,Metropolitian ,conditions Windy,Medium 
0x77ee ,Metropolitian ,conditions Windy,Medium 
0x2192 ,Metropolitian ,conditions Sandstorms,Medium 
0x48c7 ,Urban ,conditions Fog,Medium 
0x78bf ,Metropolitian ,conditions Sunny,Medium 
0x7a5a ,Metropolitian ,conditions Fog,Jam 
0x4321 ,NaN ,conditions Windy,Medium 
0xe00d ,Metropolitian ,conditions Stormy,Jam 
0x1e86 ,Metropolitian ,conditions Stormy,Low 
0xcff0 ,Metropolitian ,conditions Stormy,Low 
0x1e2d ,Metropolitian ,conditions Windy,Medium 
0xd072 ,Metropolitian ,conditions Sunny,High 
0x9a57 ,Metropolitian ,conditions Fog,Jam 
0x427b ,Metropolitian ,conditions Cloudy,Medium 
0x52e2 ,Metropolitian ,conditions Sandstorms,Medium 
0x9395 ,Metropolitian ,conditions Fog,Low 
0xb5d2 ,Metropolitian ,conditions Cloudy,Jam 
0x6c4d ,NaN ,conditions Sunny,Low 
0xd1c8 ,Metropolitian ,conditions Stormy,Medium 
0x98ca ,Urban ,conditions Fog,Medium 
0x1b5b ,Metropolitian ,conditions Sandstorms,Jam 
0x644b ,Metropolitian ,conditions Windy,Jam 
0x7a2d ,Metropolitian ,conditions Windy,Low 
0xe13f ,Metropolitian ,conditions Fog,Low 
0xc278 ,Metropolitian ,conditions Sandstorms,Low 
0x5912 ,Metropolitian ,conditions Sunny,Low 
0xab33 ,Metropolitian ,conditions Fog,Low 
0xdd96 ,Metropolitian ,conditions Sunny,Jam 
0x7646 ,Metropolitian ,conditions Cloudy,Jam 
0x5ef5 ,Urban ,conditions Windy,Low 
0x7ef7 ,Urban ,conditions Sunny,Jam 
0x1136 ,Metropolitian ,conditions Stormy,High 
0xd032 ,Metropolitian ,conditions Sunny,Medium 
0x199d ,Metropolitian ,conditions Sandstorms,Low 
0x871c ,Metropolitian ,conditions Windy,Low 
0xcf18 ,Urban ,conditions Cloudy,Medium 
0x1dad ,Metropolitian ,conditions Sunny,High 
0xc918 ,Urban ,conditions Windy,Low 
0x33c1 ,Metropolitian ,conditions Sandstorms,Low 
0x1b50 ,Urban ,conditions NaN,NaN 
0x27fe ,Metropolitian ,conditions Stormy,Low 
0x1536 ,Metropolitian ,conditions Stormy,Low 
0xa152 ,Metropolitian ,conditions Windy,Medium 
0x9c9a ,Urban ,conditions Windy,Jam 
0x3052 ,Urban ,conditions Sandstorms,Medium 
0x1045 ,Metropolitian ,conditions Fog,Medium 
0x2391 ,Metropolitian ,conditions Stormy,Low 
0x7ddd ,Metropolitian ,conditions Windy,Jam 
0x279f ,Metropolitian ,conditions Stormy,Jam 
0xe76 ,Urban ,conditions Cloudy,Medium 
0xaefa ,Metropolitian ,conditions Sunny,Medium 
0xdad6 ,Metropolitian ,conditions Fog,Low 
0xc237 ,Metropolitian ,conditions Cloudy,High 
0x4efc ,Metropolitian ,conditions Sunny,High 
0x6e33 ,Metropolitian ,conditions Stormy,Medium 
0xd92f ,Metropolitian ,conditions Cloudy,Jam 
0xd902 ,Metropolitian ,conditions Sandstorms,Jam 
0xd91a ,Metropolitian ,conditions Sunny,Jam 
0x4f0c ,Metropolitian ,conditions Fog,Low 
0x8456 ,Urban ,conditions Stormy,Jam 
0x3329 ,Metropolitian ,conditions Fog,Medium 
0x1aa8 ,Metropolitian ,conditions Windy,Jam 
0x144d ,NaN ,conditions Stormy,Low 
0xd27b ,Metropolitian ,conditions Sandstorms,Low 
0xadd6 ,Urban ,conditions Sandstorms,Jam 
0x7c60 ,Metropolitian ,conditions Stormy,High 
0x4fb8 ,Metropolitian ,conditions Fog,Medium 
0x1406 ,Metropolitian ,conditions Cloudy,Jam 
0xc63e ,Metropolitian ,conditions Cloudy,Medium 
0x7b03 ,Metropolitian ,conditions Windy,Jam 
0x4314 ,Metropolitian ,conditions Fog,Jam 
0x9e5a ,NaN ,conditions Fog,Low 
0xc044 ,Metropolitian ,conditions Sandstorms,Jam 
0xd7d3 ,Metropolitian ,conditions Cloudy,Jam 
0x70b1 ,Urban ,conditions Stormy,Jam 
0x59e5 ,Urban ,conditions Fog,Low 
0xdeac ,Metropolitian ,conditions Cloudy,Medium 
0xa053 ,Metropolitian ,conditions Sandstorms,Jam 
0x4db ,Urban ,conditions Stormy,Jam 
0x7031 ,Metropolitian ,conditions Cloudy,High 
0xd3bc ,Metropolitian ,conditions Sandstorms,Jam 
0x8de9 ,NaN ,conditions Fog,Low 
0x7c84 ,Metropolitian ,conditions Fog,Medium 
0x96d2 ,Urban ,conditions Sandstorms,Jam 
0x77b5 ,Metropolitian ,conditions Fog,Low 
0x75dc ,Metropolitian ,conditions Stormy,Medium 
0xbe78 ,Urban ,conditions Windy,Low 
0x35a2 ,Metropolitian ,conditions Sandstorms,High 
0x416f ,Urban ,conditions Sandstorms,Jam 
0xa4f5 ,Urban ,conditions Cloudy,Medium 
0xa4eb ,Metropolitian ,conditions Sunny,Low 
0xd4da ,Metropolitian ,conditions Windy,Jam 
0xb59b ,Urban ,conditions Sunny,Medium 
0x4f73 ,Metropolitian ,conditions Stormy,Medium 
0x6a7 ,Metropolitian ,conditions Fog,Jam 
0xadae ,Metropolitian ,conditions Sunny,Medium 
0xb785 ,Metropolitian ,conditions Windy,Jam 
0x8366 ,Metropolitian ,conditions Windy,Low 
0xbff2 ,Metropolitian ,conditions Sunny,Jam 
0x8f58 ,Urban ,conditions Cloudy,Low 
0x247c ,Urban ,conditions Fog,High 
0x43b9 ,Metropolitian ,conditions Sandstorms,Medium 
0x9e8a ,Urban ,conditions Sandstorms,Medium 
0x47af ,Urban ,conditions Fog,Medium 
0x1b40 ,Urban ,conditions Windy,Low 
0xb4fb ,Metropolitian ,conditions Windy,Medium 
0xb50 ,Metropolitian ,conditions Stormy,High 
0x3376 ,Urban ,conditions Cloudy,Low 
0xbecb ,Metropolitian ,conditions Windy,Low 
0x4357 ,Metropolitian ,conditions Fog,Medium 
0x1486 ,Metropolitian ,conditions Fog,Medium 
0x5b70 ,Urban ,conditions Windy,Medium 
0x490e ,Metropolitian ,conditions Sandstorms,High 
0x3e21 ,Metropolitian ,conditions Sunny,Medium 
0x26d4 ,Metropolitian ,conditions Sandstorms,Low 
0xb20f ,Metropolitian ,conditions Stormy,Jam 
0x7ada ,Metropolitian ,conditions Windy,Jam 
0xc4b3 ,Metropolitian ,conditions Fog,High 
0x2a01 ,Metropolitian ,conditions Cloudy,Low 
0x6357 ,Urban ,conditions Sandstorms,Jam 
0x73c ,Metropolitian ,conditions Fog,Low 
0x9c2a ,Urban ,conditions Fog,Low 
0x31bd ,Urban ,conditions Sunny,Low 
0x970a ,Metropolitian ,conditions Fog,Jam 
0x2675 ,Metropolitian ,conditions Cloudy,Jam 
0xa200 ,Metropolitian ,conditions Windy,Low 
0x9bf9 ,Metropolitian ,conditions Sandstorms,Medium 
0x555d ,Metropolitian ,conditions Windy,Jam 
0x5bd9 ,NaN ,conditions Windy,Medium 
0xb2e9 ,Metropolitian ,conditions Windy,Medium 
0x8633 ,Urban ,conditions Stormy,High 
0x4c34 ,Metropolitian ,conditions Sandstorms,Jam 
0xa998 ,Metropolitian ,conditions Sandstorms,Low 
0x5efd ,Metropolitian ,conditions Cloudy,Low 
0x8d83 ,Urban ,conditions Cloudy,Medium 
0x8a06 ,Metropolitian ,conditions Windy,Low 
0x5a2d ,Metropolitian ,conditions Windy,High 
0x4c1 ,Metropolitian ,conditions NaN,NaN 
0x83ea ,Metropolitian ,conditions Cloudy,High 
0x2185 ,Metropolitian ,conditions Sunny,Low 
0x12e7 ,Metropolitian ,conditions Windy,Medium 
0x5956 ,Metropolitian ,conditions Windy,Low 
0x7814 ,Metropolitian ,conditions Stormy,Jam 
0xcee ,Metropolitian ,conditions Sunny,Low 
0x5a07 ,Metropolitian ,conditions Sunny,Jam 
0x340f ,Metropolitian ,conditions Cloudy,Jam 
0x8094 ,Metropolitian ,conditions Cloudy,Low 
0x3241 ,Metropolitian ,conditions Sunny,High 
0xde16 ,Metropolitian ,conditions Sunny,Low 
0xa176 ,Urban ,conditions Cloudy,Jam 
0xc8c7 ,Metropolitian ,conditions Stormy,Medium 
0xaa97 ,Metropolitian ,conditions Sunny,Medium 
0xa64c ,Metropolitian ,conditions Stormy,Low 
0x7df5 ,Metropolitian ,conditions Windy,Medium 
0x869e ,Metropolitian ,conditions Fog,Jam 
0x7725 ,Metropolitian ,conditions Stormy,Jam 
0xb6d2 ,Metropolitian ,conditions Stormy,High 
0x6edb ,Metropolitian ,conditions Stormy,Medium 
0xaab4 ,Metropolitian ,conditions Cloudy,Low 
0xaabd ,Urban ,conditions Windy,Low 
0xc873 ,Metropolitian ,conditions Windy,Medium 
0x1494 ,Metropolitian ,conditions Sandstorms,Medium 
0x1875 ,Metropolitian ,conditions Windy,Jam 
0x2af5 ,Metropolitian ,conditions Sandstorms,Jam 
0x97b6 ,Metropolitian ,conditions Cloudy,Jam 
0xa56e ,Metropolitian ,conditions Sunny,Jam 
0xaa3f ,Metropolitian ,conditions Windy,Medium 
0x6226 ,Urban ,conditions Fog,Medium 
0x996b ,Urban ,conditions Stormy,Low 
0xc595 ,Metropolitian ,conditions Sandstorms,Low 
0x6bfb ,Metropolitian ,conditions Stormy,High 
0x7e1f ,Metropolitian ,conditions Sandstorms,Jam 
0xb20d ,Metropolitian ,conditions Sandstorms,Medium 
0xa11b ,Metropolitian ,conditions Fog,Low 
0x1db4 ,Metropolitian ,conditions Stormy,Low 
0x2258 ,Metropolitian ,conditions Windy,Low 
0x1fd6 ,Metropolitian ,conditions Cloudy,Medium 
0x6de1 ,Metropolitian ,conditions Sandstorms,Medium 
0x8b39 ,Metropolitian ,conditions Sunny,Low 
0x8f8 ,Urban ,conditions Sunny,Medium 
0x997b ,Metropolitian ,conditions Cloudy,Medium 
0xcdb6 ,Metropolitian ,conditions Windy,Medium 
0x5a7a ,Urban ,conditions Windy,Jam 
0x6de3 ,Metropolitian ,conditions Fog,Jam 
0xe27a ,Metropolitian ,conditions Stormy,Low 
0xab52 ,Metropolitian ,conditions Stormy,Low 
