ID,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival
0x4607 ,Snack ,motorcycle ,0,No 
0xb379 ,Snack ,scooter ,1,No 
0x5d6d ,Drinks ,motorcycle ,1,No 
0x7a6a ,Buffet ,motorcycle ,1,No 
0x70a2 ,Snack ,scooter ,1,No 
0x9bb4 ,Buffet ,motorcycle ,1,No 
0x95b4 ,Meal ,scooter ,1,No 
0x9eb2 ,Meal ,motorcycle ,1,No 
0x1102 ,Buffet ,motorcycle ,1,No 
0xcdcd ,Snack ,motorcycle ,3,No 
0xd987 ,Meal ,motorcycle ,1,No 
0x2784 ,Drinks ,scooter ,1,No 
0xc8b6 ,Buffet ,motorcycle ,0,No 
0xdb64 ,Snack ,scooter ,1,No 
0x3af3 ,Buffet ,electric_scooter ,1,No 
0x3aab ,Meal ,scooter ,1,No 
0x689b ,Snack ,motorcycle ,1,No 
0x6f67 ,Snack ,motorcycle ,NaN ,No 
0xc9cf ,Meal ,motorcycle ,1,No 
0x36b8 ,Snack ,motorcycle ,2,No 
0x5795 ,Meal ,electric_scooter ,0,No 
0x6c6b ,Snack ,motorcycle ,1,No 
0xb816 ,Meal ,scooter ,1,No 
0x539b ,Buffet ,motorcycle ,1,No 
0xa1b2 ,Meal ,electric_scooter ,1,No 
0x3231 ,Snack ,motorcycle ,0,No 
0x8bc0 ,Drinks ,scooter ,0,No 
0x2288 ,Buffet ,motorcycle ,1,No 
0x3c5e ,Buffet ,electric_scooter ,0,No 
0x3e60 ,Drinks ,motorcycle ,1,No 
0xbff ,Drinks ,motorcycle ,1,No 
0xd936 ,Buffet ,motorcycle ,0,No 
0xd681 ,Drinks ,scooter ,1,No 
0x2876 ,Snack ,scooter ,0,No 
0x30c8 ,Drinks ,scooter ,1,No 
0xb843 ,Snack ,motorcycle ,1,No 
0xb3a0 ,Snack ,scooter ,0,No 
0x6531 ,Meal ,scooter ,1,No 
0x4bda ,Snack ,scooter ,1,No 
0x9d26 ,Buffet ,scooter ,0,No 
0x9b18 ,Snack ,motorcycle ,1,No 
0x5d99 ,Snack ,motorcycle ,1,No 
0x4f0 ,Drinks ,scooter ,1,No 
0xb796 ,Snack ,motorcycle ,3,No 
0x85b4 ,Snack ,scooter ,1,No 
0xc644 ,Snack ,scooter ,1,No 
0x6999 ,Drinks ,electric_scooter ,0,No 
0x63b6 ,Drinks ,scooter ,1,No 
0xa30b ,Drinks ,motorcycle ,1,No 
0x3556 ,Snack ,scooter ,1,No 
0x5554 ,Snack ,motorcycle ,1,No 
0x25fd ,Drinks ,scooter ,1,No 
0xc1ff ,Snack ,motorcycle ,0,No 
0x7ac8 ,Drinks ,motorcycle ,1,No 
0x3da1 ,Snack ,motorcycle ,0,No 
0x272d ,Buffet ,motorcycle ,0,No 
0xddc5 ,Snack ,motorcycle ,1,No 
0x8e6c ,Snack ,scooter ,1,No 
0xb002 ,Buffet ,scooter ,0,No 
0x395b ,Snack ,motorcycle ,1,No 
0x8aa2 ,Drinks ,scooter ,0,No 
0xb55a ,Drinks ,scooter ,0,No 
0x73cc ,Drinks ,scooter ,1,No 
0xbe80 ,Buffet ,motorcycle ,0,No 
0x1609 ,Drinks ,scooter ,1,No 
0xd255 ,Meal ,electric_scooter ,0,No 
0xde72 ,Meal ,motorcycle ,1,No 
0x98aa ,Meal ,scooter ,1,No 
0x273a ,Buffet ,scooter ,1,No 
0xa258 ,Snack ,scooter ,1,No 
0x8b53 ,Buffet ,scooter ,1,No 
0xbbde ,Meal ,scooter ,0,No 
0x5ded ,Buffet ,motorcycle ,1,No 
0x1a70 ,Buffet ,motorcycle ,1,No 
0xa9f ,Drinks ,scooter ,0,No 
0x4b7f ,Buffet ,motorcycle ,0,No 
0xc606 ,Drinks ,motorcycle ,1,No 
0xb962 ,Buffet ,motorcycle ,2,No 
0x633c ,Drinks ,scooter ,2,No 
0x2dc6 ,Drinks ,electric_scooter ,1,No 
0x903a ,Snack ,scooter ,1,No 
0xc444 ,Snack ,motorcycle ,1,No 
0x1fb7 ,Snack ,scooter ,1,No 
0x34d7 ,Meal ,motorcycle ,0,No 
0x156b ,Buffet ,motorcycle ,1,No 
0x56ad ,Buffet ,motorcycle ,0,No 
0x837c ,Meal ,motorcycle ,NaN ,No 
0xcbc4 ,Snack ,scooter ,1,No 
0xc19e ,Buffet ,motorcycle ,2,Yes 
0x1d60 ,Drinks ,motorcycle ,1,No 
0x95fb ,Meal ,motorcycle ,1,No 
0x8195 ,Drinks ,motorcycle ,1,No 
0xc042 ,Drinks ,scooter ,0,No 
0x6d19 ,Drinks ,scooter ,1,No 
0x35e6 ,Buffet ,electric_scooter ,0,No 
0xb437 ,Meal ,motorcycle ,NaN ,No 
0x97e3 ,Drinks ,motorcycle ,0,No 
0xa3e0 ,Drinks ,electric_scooter ,0,No 
0x4161 ,Snack ,motorcycle ,0,No 
0x1236 ,Meal ,scooter ,1,No 
0x2558 ,Snack ,motorcycle ,0,No 
0x3185 ,Snack ,scooter ,1,No 
0x3c57 ,Meal ,motorcycle ,0,No 
0x4863 ,Snack ,motorcycle ,1,No 
0x6757 ,Meal ,motorcycle ,0,No 
0x22ad ,Buffet ,motorcycle ,1,No 
0x9f99 ,Snack ,scooter ,1,No 
0x6781 ,Drinks ,scooter ,0,No 
0x1b8d ,Snack ,scooter ,0,No 
0x1aea ,Snack ,motorcycle ,1,No 
0x1e42 ,Drinks ,motorcycle ,1,No 
0xddc8 ,Meal ,scooter ,0,No 
0x24ac ,Snack ,motorcycle ,1,No 
0x3f01 ,Drinks ,motorcycle ,0,No 
0x628c ,Snack ,scooter ,0,No 
0x6c38 ,Buffet ,electric_scooter ,0,No 
0x4beb ,Drinks ,motorcycle ,0,No 
0x8339 ,Drinks ,motorcycle ,1,No 
0x3ec5 ,Meal ,motorcycle ,1,No 
0xadb4 ,Drinks ,motorcycle ,0,No 
0x6e2 ,Snack ,electric_scooter ,0,No 
0x2bc0 ,Snack ,scooter ,0,No 
0x99e7 ,Meal ,scooter ,0,No 
0x39ef ,Drinks ,motorcycle ,1,No 
0xe264 ,Drinks ,scooter ,1,No 
0xbd03 ,Meal ,scooter ,0,No 
0x9a29 ,Snack ,scooter ,1,No 
0xd0e5 ,Drinks ,motorcycle ,0,No 
0xa480 ,Drinks ,motorcycle ,1,No 
0xb46c ,Snack ,scooter ,0,No 
0x7150 ,Meal ,scooter ,1,No 
0x1e58 ,Snack ,motorcycle ,0,No 
0x4460 ,Snack ,motorcycle ,0,No 
0x977d ,Buffet ,motorcycle ,0,No 
0x1602 ,Drinks ,motorcycle ,2,No 
0x894e ,Drinks ,motorcycle ,NaN ,No 
0x5a01 ,Meal ,scooter ,1,No 
0x655 ,Snack ,motorcycle ,1,No 
0x20f6 ,Buffet ,motorcycle ,0,Yes 
0x3db1 ,Snack ,motorcycle ,1,No 
0x1ec7 ,Snack ,scooter ,0,No 
0x8ed2 ,Snack ,motorcycle ,1,No 
0x64cc ,Meal ,motorcycle ,1,No 
0x2ed0 ,Meal ,scooter ,1,No 
0x4008 ,Meal ,electric_scooter ,NaN ,No 
0x7553 ,Snack ,scooter ,0,No 
0x35d8 ,Buffet ,motorcycle ,1,No 
0x9832 ,Snack ,motorcycle ,0,No 
0x4c88 ,Buffet ,scooter ,1,No 
0x9693 ,Drinks ,motorcycle ,1,No 
0x81a5 ,Buffet ,motorcycle ,0,No 
0xae56 ,Snack ,motorcycle ,0,No 
0x8d18 ,Buffet ,scooter ,1,No 
